Name,Publisher
WWE Smackdown vs. Raw 2006, THQ
Triple Play 99,Electronic Arts
Shrek / Shrek 2 2-in-1 Gameboy Advance Video, Nintendo
Bentley's Hackpack, Sony Computer Entertainment
Nicktoons Collection: Game Boy Advance Video Volume 1, Nintendo
Nicktoons Collection: Game Boy Advance Video Volume 2, Nintendo
Nicktoons Collection: Game Boy Advance Video Volume 3, Nintendo
SpongeBob SquarePants: Game Boy Advance Video Volume 1, Nintendo
SpongeBob SquarePants: Game Boy Advance Video Volume 2, Nintendo
SpongeBob SquarePants: Game Boy Advance Video Volume 3, Nintendo
Sonic the Hedgehog, Sega
The Fairly Odd Parents: Game Boy Advance Video Volume 1, Nintendo
The Fairly Odd Parents: Game Boy Advance Video Volume 2, Nintendo
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales), Bandai Namco Entertainment
Cartoon Network Collection: Game Boy Advance Video Platinum Edition, Nintendo
Cartoon Network Collection: Game Boy Advance Video Volume 1, Nintendo
Cartoon Network Collection: Game Boy Advance Video Volume 2, Nintendo
Cartoon Network Collection: Game Boy Advance Video Special Edition, Nintendo
The Legend of Zelda: The Minish Cap(weekly JP sales), Nintendo
Sonic X: Game Boy Advance Video Volume 1, Nintendo
Dora the Explorer: Game Boy Advance Video Volume 1, Nintendo
Yu Yu Hakusho: Dark Tournament, Atari
Thomas the Tank Engine & Friends, THQ
Dragon Ball GT: Game Boy Advance Video Volume 1, Nintendo
Codename: Kids Next Door: Game Boy Advance Video Volume 1, Nintendo
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1, Nintendo
Stronghold 3, SouthPeak Games
Pokémon: Johto Photo Finish: Game Boy Advance Video, Nintend
Strawberry Shortcake: Game Boy Advance Video Volume 1, Nintendo
Farming Simulator 2011, Astragon / Focus Home Interactive
Disney Channel Collection Vol. 1, Nintendo
Atsumare! Power Pro Kun no DS Koushien, Konami
Action Man-Operation Extreme, Hasbro Interactive
Chou Soujuu Mecha MG, Nintendo
Prinny: Can I Really Be The Hero? (US sales), Nippon Ichi Software
Monster Hunter Frontier Online, Capcom
B.L.U.E.: Legend of Water, Hudson Soft
World of Tanks, Wargaming
Housekeeping, Indie Game
Bikkuriman Daijiten, Banpresto
Silverlicious, GameMill Entertainment
UK Truck Simulator, SCS Software
Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku, Alchemist
Xia-Xia, Activision
Mario Tennis, Nintendo
Demolition Company: Gold Edition, Giants Software
"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.", Capcom
Dream Dancer, Zoo Games
Homeworld Remastered Collection, Gearbox Software
Super Robot Monkey Team: Game Boy Advance Video Volume 1, Nintendo
Brothers in Arms: Furious 4, Ubisoft
Dance with Devils, Rejet
Legends of Oz: Dorothy's Return, Baii Publishing LLC
Driving Simulator 2011, Excalibur Publishing
Bound By Flame, Focus Home Interactive
All Grown Up!: Game Boy Advance Video Volume 1, Nintendo
Gran Turismo Concept 2001 Tokyo, Sony Computer Entertainment
NASCAR Thunder 2003, Electronic Arts
Suikoden III, Konami
Wheel of Fortune, Hasbro
Teenage Mutant Ninja Turtles, Konami
Namco Museum, Namco
Rhythm Heaven, Nintendo
Blitz: The League, Midway
Madden NFL 07, Electronic Arts
The Game of Life, Hasbro
MLB SlugFest 20-03, Midway
Final Fantasy Type-0, Square Enix
Madden NFL 11, Electronic Arts
WarioWare: Twisted!, Nintendo
God Eater, Bandai Namco Entertainment
RIFT, Trion Worlds
NASCAR: Dirt to Daytona, Activision
Madden NFL 2002, Electronic Arts
Two Worlds II, SouthPeak Interactive
NHL Slapshot, Electronic Arts
TERA, En Masse Entertainment
NFL GameDay 2003, 989 Sports
Harvest Moon: Save the Homeland, Natsume
Bejeweled 3, PopCap Games
Cubix Robots for Everyone: Clash 'n' Bash, 3DO
Final Fantasy XI, Square Enix
Singularity, Raven Software
All-Star Baseball 2005, Acclaim
The Dukes of Hazzard II: Daisy Dukes It Out, THQ
Harvest Moon: The Tale of Two Towns, Natsume
Fast Food, Enix
Nicktoons: Battle for Volcano Island, THQ
Pac-Man Fever, Namco
M&M's Blast!, Majesco Entertainment
Rock Revolution, Konami
Ultimate NES Remix, Nintendo
College Hoops 2K6, 2K Sports
Mega Man X Collection, Capcom
Danganronpa: Trigger Happy Havoc, Spike Chunsoft
Jet X20, Agetec
Tribes: Aerial Assault, Sierra Entertainment
Yoostar2, Yoostar Entertainment
Afrika, Sony Computer Entertainment
Now! That's What I Call Music: Dance & Sing, Universal Music Group
Robotech: Battlecry, TDK Mediactive
Chibi-Robo! Park Patrol, Nintendo
Trauma Team, Atlus
Backbreaker, NaturalMotion
Heavy Fire: Afghanistan, Mastiff
Twisted Metal: Small Brawl, Sony Computer Entertainment
Otomedius Excellent, Konami
NBA Starting Five, 2K Sports
Teen Titans, THQ
Kid Adventures: Sky Captain, K12
Vegas Party, P.O.S. Game Studio
Jurassic Park: The Game, Telltale Games
Kids Learn Math: A+ Edition, 3D Moon
Terraria, Re-Logic
Black * Rock Shooter: The Game, Nitroplus
Our House Party!, Paradox Interactive
WCW Backstage Assault, THQ
Barbie Explorer, 3DO
Power Gig: Rise of the SixString, Seven45 Studios
Nintendo Puzzle Collection, Nintendo
Charm Girls Club: My Fashion Mall, 1st Playable Productions
Saru! Get You! Million Monkeys, D3 Publisher
Street Hoops, Konami
Godzilla: Destroy All Monsters Melee, Infogrames
The Daring Game for Girls, 505 Games
Rocksmith, Ubisoft
Major League Baseball 2K6, 2K Sports
Mystery P.I. - Portrait of a Thief, Big Fish Games
Yoostar2, Yoostar Entertainment
GiFTPiA, Capcom
Saigo no Yakusoku no Monogatari, SCE Japan Studio
Baten Kaitos Origins, Nintendo
My Healthy Cooking Coach, Ubisoft
Persona 5, Atlus
Luminous Arc 2 (JP sales), Marvelous
The Daring Game for Girls, 505 Games
Thomas & Friends: Hero of the Rails, Hit Entertainment
Martian Panic, Hothouse Creations
Charm Girls Club: My Fashion Show, 1st Playable Productions
The Hidden, Frozen North Productions
Rock Revolution, Konami
The Golf Club, HB Studios
Smashing Drive, Midway
Speed, LSP
Drake of the 99 Dragons, Majesco Entertainment
Alpha and Omega, Fox Interactive
Fairy Tail: Zelef Kakusei, Konami
Build-A-Bear Workshop: Friendship Valley, 3DO
Yoostar on MTV, Yoostar Entertainment
Rayman Arena, Ubisoft
National Geographic Challenge!, Ubisoft
Max & the Magic Marker, Press Play
Kururin Paradise, Nintendo
Combat Elite: WWII Paratroopers, TDK Mediactive
Pheasants Forever Wingshooter, Pheasants Forever
Flip's Twisted World, Majesco Entertainment
Tom Clancy's Rainbow Six: Critical Hour, Ubisoft
Reader Rabbit 2nd Grade, Learning Company
Samantha Swift and the Hidden Roses of Athena, Gamenauts
Mountain Bike Adrenaline, 3D Realms
Drill Dozer, Nintendo
Kids Learn Music A+ Edition, 3D Moon
Metal Max 2 Reloaded, Kadokawa Games
The Lost Treasures of Alexandria, Microsoft
Guilty Gear XX Accent Core, Arc System Works
Jewel Quest Mysteries 2: Trail of the Midnight Heart, iWin
Men of War: Vietnam, 1C Company
NHL Hitz Pro, Midway
North American Hunting Extravaganza 2, GameMill Entertainment
Test Drive: Ferrari Legends, Atari
Gummy Bears Mini Golf, Burbank Games
Time Travelers, Level-5
Sega Rally 2006, Sega
Train Simulator 2016, Dovetail Games
Worms: Ultimate Mayhem, Team17
Jane's Hotel, GameHouse
Swords, 1C Company
Clockwork Empires, Gaslamp Games
Major League Baseball 2K8, 2K Sports
Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin, Taito
Clash of Elementalists, Xseed Games
Junior Island Adventure, Agetec
The Binding of Isaac, Edmund McMillen
Beastly, 3DO
Beyond the Labyrinth, Konami
Foto Showdown, Activision
Majesty 2: The Fantasy Kingdom Sim, Paradox Interactive
LEGO Legends of Chima: Laval's Journey, Warner Bros. Interactive
Super Meat Boy: Ultra Edition!, Team Meat
Fullmetal Alchemist: Brotherhood, Square Enix
Take On Helicopters, Bohemia Interactive
Combat Elite: WWII Paratroopers, TDK Mediactive
Samurai Spirits: Tenkaichi Kenkakuden, SNK
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa, Taito
Heroes of Hellas 2: Olympia, Alawar
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa, Taito
Ao no Kanata no Four Rhythm, Sprite
Tom and Jerry in War of the Whiskers, Midway
Super Duper Sumos, THQ
Farm Frenzy 3, Alawar
Magicka Collection, Paradox Interactive
Bookworm, PopCap Games
Legacy of Ys: Books I & II, Konami
The King of Fighters: Maximum Impact - Maniax, SNK
Tube Slider, Existence Games
Vampire Mansion: Linda Hyde, Iceberg Interactive
Payout Poker & Casino, BVR
Blender Bros., C4
Ukiyo no Roushi, SCE Japan Studio
Cities in Motion Collection, Paradox Interactive
Love Once: Mermaid's Tears, M4
Sengoku Otome: Legend Battle, 5pb
Saint, Chikyu
Steal Princess, Atlus
Dungeon Defenders, Trendy Entertainment
Thomas & Friends: Hero of the Rails, Hit Entertainment
Meikyuu Cross Blood: Reloaded, Entergram
Mystery Tales 2: The Spirit Mask, Domini Games
Airport Simulator, United Independent Entertainment
Disney Sports Football, Disney Interactive
UFO: Trilogy, 1C Company
Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales), Konami
Wild West Shootout, DreamCatcher Interactive
Tantei Opera: Milky Holmes, Bandai Visual
Cabela's Alaskan Adventure, Activision
Writing and Speaking Beautiful Japanese DS, Eiga
Virtua Quest, Sega
Clue / Mouse Trap / Perfection / Aggravation, Hasbro
The Dark Hills of Cherai, Kheops Studio
PDC World Championship Darts 2008, 3D Sports
Dinotopia: The Sunstone Odyssey, DreamCatcher Interactive
Aquaman: Battle for Atlantis, THQ
Fuuraiki 3, Taito
Dark Parables: The Exiled Prince, Big Fish Games
Shorts, THQ
Hyakka Yakou, Konami
Shitsuji ga Aruji o Erabu Toki, 5pb
War for the Overworld, Brightrock Games
Freaky Flyers, Midway
Hakuouki: Shinsengumi Kitan, Idea Factory
Real Crimes: The Unicorn Killer, Big Fish Games
"Horse Life 4: My Horse, My Friend, My Champion", Anuman
The Smurfs, Microids
STORM: Frontline Nation, Storm Games
The Treasures of Mystery Island 3 Pack - Save Mystery Island!, 3D Games
Fit & Fun, Sony
Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi, GameOn
