Name,Year
Madden NFL 2004,2003
FIFA Soccer 2004,2003
LEGO Batman: The Videogame,2008
WWE Smackdown vs. Raw 2006,2005
Space Invaders,1978
Rock Band,2007
Frogger's Adventures: Temple of the Frog,2001
LEGO Indiana Jones: The Original Adventures,2008
Call of Duty 3,2006
Call of Duty: Black Ops,2010
Rock Band,2007
Triple Play 99,1998
LEGO Harry Potter: Years 5-7,2011
LEGO Batman: The Videogame,2008
Adventure,1979
Combat,1977
NASCAR Thunder 2003,2002
Hitman 2: Silent Assassin,2002
Rock Band,2007
Legacy of Kain: Soul Reaver,1999
Donkey Kong Land III,1997
LEGO Harry Potter: Years 5-7,2011
Air-Sea Battle,1977
Suikoden III,2002
Yakuza 4,2010
LEGO Harry Potter: Years 5-7,2011
Wheel of Fortune,1987
Bentley's Hackpack,2013
Namco Museum,1995
Rhythm Heaven,2008
The Lord of the Rings: War in the North,2011
The Lord of the Rings: War in the North,2011
Madden NFL 07,2006
MLB SlugFest-20-03,2002
Shaun White Snowboarding,2008
PES 2009: Pro Evolution Soccer,2008
Madden NFL 11,2010
WarioWare: Twisted!,2004
LEGO Harry Potter: Years 5-7,2011
Test Drive Unlimited 2,2011
Test Drive Unlimited 2,2011
Nicktoons Collection: Game Boy Advance Video V,2005
SpongeBob SquarePants: Game Boy Advance Video,2004
Monster Hunter 2,2006
Advance Wars: Days of Ruin,2008
Metal Gear Solid 2: Substance,2002
The Golden Compass,2007
Madden NFL 06,2005
NASCAR: Dirt to Daytona,2002
Madden NFL 2002,2001
Def Jam: Fight for NY,2004
NBA Street Vol. 2,2003
SpongeBob SquarePants: Game Boy Advance Video,2004
Fishing Derby,1980
Wet,2009
Sonic the Hedgehog,1984
Karate,1982
Tiger Woods PGA Tour 07,2006
Circus Atari,1980
The Chronicles of Riddick: Escape from Butcher Bay,2004
Maze Craze: A Game of Cops 'n Robbers,1978
Silent Hill: Homecoming,2008
Super Breakout,1978
Robert Ludlum's The Bourne Conspiracy,2008
The Fairly Odd Parents: Game Boy Advance Video,2005
NHL Slapshot,2010
The Fairly Odd Parents: Game Boy Advance Video,2005
TERA,2011
LEGO Harry Potter: Years 5-7,2011
NFL GameDay 2003,2002
Silent Hill: Homecoming,2008
Harvest Moon: Save the Homeland,2001
Robert Ludlum's The Bourne Conspiracy,2008
Hangman,1995
The Golden Compass,2007
NBA Live 2003,2002
Bejeweled 3,2011
Cubix Robots for Everyone: Clash 'n' Bash,2003
Tropico 4,2011
Tomb Raider (2013),2013
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),2006
Custom Robo,2004
Final Fantasy XI,2002
Singularity,2010
Cartoon Network Collection: Game Boy Advance V,2004
Dragster,1980
All-Star Baseball 2005,2004
Star Wars Jedi Knight II: Jedi Outcast,2002
Slot Machine,1985
Shrek the Third,2007
The Dukes of Hazzard II: Daisy Dukes It Out,2004
Disgaea 3: Absence of Detention,2011
NBA Live 2003,2002
Harvest Moon: The Tale of Two Towns,2009
Nicktoons: Battle for Volcano Island,2007
Haven: Call of the King,2005
Unreal Championship 2: The Liandri Conflict,2005
Pac-Man Fever,2002
The Legend of Zelda: The Minish Cap,2004
Indy 500,1977
Gun,2005
Flag Capture,1978
LEGO Harry Potter: Years 5-7,2011
Rock Revolution,2008
Sonic X: Game Boy Advance Video Volume 1,2004
Jonah Lomu Rugby Challenge,2011
Dora the Explorer: Game Boy Advance Video Volume 1,2004
College Hoops 2K6,2005
Cartoon Network Collection: Game Boy Advance Video Volume 1,2004
Mega Man X Collection,2006
BioShock 2,2010
Singularity,2010
All Grown Up!: Game Boy Advance Video Volume 1,2004
Danganronpa: Trigger Happy Havoc,2010
DanceDanceRevolution II,2011
Tony Hawk's Downhill Jam,2006
Big Beach Sports 2,2010
Jet X20,2002
Tribes: Aerial Assault,2002
Move Fitness,2011
Nicktoons Collection: Game Boy Advance Video Volume 1,2004
LEGO Harry Potter: Years 5-7,2011
Yu Yu Hakusho: Dark Tournament,2004
Ghostbusters II,1989
Breakaway IV,1981
Robotech: Battlecry,2002
Valkyria Chronicles III: Unrecorded Chronicles,2011
WRC: FIA World Rally Championship,2010
SpongeBob SquarePants: Game Boy Advance Video Volume 1,2004
Famista 64,1997
Dead Space 3,2013
Test Drive Unlimited 2,2011
Pet Zombies,2011
Star Trek: Legacy,2006
Thomas the Tank Engine & Friends,1993
Trauma Team,2010
Backbreaker,2010
Twisted Metal: Small Brawl,2001
Otomedius Excellent,2011
NBA Starting Five,2002
Teen Titans,2006
Backbreaker,2010
Dragon Ball GT: Game Boy Advance Video Volume 1,2004
James Cameron's Dark Angel,2002
Codename: Kids Next Door: Game Boy Advance Video Volume 1,2004
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,2004
Sword of the Samurai,1989
Splatterhouse,2010
Stronghold 3,2011
Alone in the Dark: The New Nightmare,2001
Vegas Party,2009
Jurassic Park: The Game,2011
Home Run,1978
Cartoon Network Collection: Game Boy Advance Video Volume 1,2004
Pokémon: Johto Photo Finish: Game Boy Advance Video Volume 1,200
Strawberry Shortcake: Game Boy Advance Video Volume 1,2004
eJay Clubworld,2003
All-Star Baseball 2005,2004
Our House Party!,2010
WCW Backstage Assault,2000
Bejeweled 3,2010
Disney's Cinderella: Magical Dreams,2005
Transworld Surf,2001
Street Fighter IV,2008
Farming Simulator 2011,2010
Nintendo Puzzle Collection,2003
Charm Girls Club: My Fashion Mall,2009
WRC: FIA World Rally Championship,2010
Record of Agarest War Zero,2011
Super Robot Wars OG Saga: Masou Kishin II -  Revelation of Evil God,2012
Saru! Get You! Million Monkeys,2006
Street Hoops,2002
Godzilla: Destroy All Monsters Melee,2002
The Daring Game for Girls,2010
Rocksmith,2011
Major League Baseball 2K6,2006
Happy Feet Two,2011
Star Trek: Conquest,2007
GiFTPiA,2003
Disney's Chicken Little: Ace In Action,2006
Disney Channel Collection Vol. 1,2004
Atsumare! Power Pro Kun no DS Koushien,2005
My Healthy Cooking Coach,2009
Luminous Arc 2,2008
Egg Monster Hero,2005
Samurai Shodown Anthology,2009
Demon Chaos,2005
Action Man: Operation Extreme,2000
Super Puzzle Fighter II Turbo,1996
Charm Girls Club: My Fashion Show,2009
Get Fit with Mel B,2010
Face Racers: Photo Finish,2011
Zero: Tsukihami no Kamen,2008
The Hidden,2011
Dead Island: Riptide,2013
Mega Man Battle Network: Operation Shooting Star,2009
Smashing Drive,2002
Dream Trigger 3D,2011
Tornado,2008
McFarlane's Evil Prophecy,2004
Drake of the 99 Dragons,2003
Port Royale 3,2012
Alex Rider: Stormbreaker,2006
Yoostar on MTV,2011
Rayman Arena,2002
National Geographic Challenge!,2011
Jewel Link Chronicles: Mountains of Madness,2012
Chou Soujuu Mecha MG,2006
Prinny: Can I Really Be The Hero?,2008
Combat Elite: WWII Paratroopers,2005
Captain America: Super Soldier,2011
Flip's Twisted World,2010
Mobile Ops: The One Year War,2008
Tom Clancy's Rainbow Six: Critical Hour,2006
GRID,2008
Reader Rabbit 2nd Grade,2000
Mountain Bike Adrenaline,2007
Tour de France 2011,2011
Drill Dozer,2005
Battle vs. Chess,2010
The History Channel: Great Battles - Medieval,2010
Monster Hunter Frontier Online,2007
RollerCoaster Tycoon,1999
B.L.U.E.: Legend of Water,1998
Luxor: Pharaoh's Challenge,2007
NHL Hitz Pro,2003
Sega Rally 2006,2006
World of Tanks,2010
Swords,2010
Half-Minute Hero 2,2011
Clockwork Empires,2014
Housekeeping,2014
Major League Baseball 2K8,2008
Sabre Wulf,2004
Beyond the Labyrinth,2012
Bikkuriman Daijiten,1998
Silverlicious,2012
Majesty 2: The Fantasy Kingdom Sim,2009
Fullmetal Alchemist: Brotherhood,2010
Samurai Spirits: Tenkaichi Kenkakuden,2006
Tom and Jerry in War of the Whiskers,2002
Super Duper Sumos,2003
UK Truck Simulator,2010
